date;tests;cas;contact;importe;communautaire
02/03/2020;1;1;0;0;0
03/03/2020;2;1;0;1;0
04/03/2020;2;2;1;1;0
05/03/2020;;0;0;0;0
06/03/2020;2;0;0;0;0
07/03/2020;2;0;0;0;0
08/03/2020;2;0;0;0;0
09/03/2020;6;0;0;0;0
10/03/2020;1;0;0;0;0
11/03/2020;8;1;0;1;0
12/03/2020;6;5;5;0;0
13/03/2020;11;11;11;0;0
14/03/2020;3;3;1;2;0
15/03/2020;2;2;1;1;0
16/03/2020;9;1;0;1;0
17/03/2020;44;4;1;3;0
18/03/2020;27;5;2;3;0
19/03/2020;22;2;0;2;0
20/03/2020;56;9;5;4;0
21/03/2020;31;9;1;5;3
22/03/2020;85;11;5;6;0
23/03/2020;60;12;2;6;4
24/03/2020;59;7;4;3;0
25/03/2020;142;13;8;5;0
26/03/2020;130;6;1;6;0
27/03/2020;144;14;2;11;1
28/03/2020;98;11;8;2;1
29/03/2020;151;12;8;4;0
30/03/2020;87;20;14;5;1
31/03/2020;97;13;12;1;0
01/04/2020;195;15;14;1;0
02/04/2020;127;5;3;2;0
03/04/2020;153;12;5;7;0
04/04/2020;177;12;10;1;1
05/04/2020;92;3;0;2;1
06/04/2020;95;4;3;0;1
07/04/2020;110;11;9;0;2
08/04/2020;108;7;2;0;5
09/04/2020;199;6;6;0;0
10/04/2020;195;15;15;0;0
11/04/2020;173;13;12;0;1
12/04/2020;104;2;1;0;1
13/04/2020;144;11;10;0;1
14/04/2020;272;8;6;0;2
15/04/2020;227;15;14;0;1
16/04/2020;435;21;19;0;2
17/04/2020;297;7;5;0;2
18/04/2020;226;8;3;0;5
19/04/2020;313;17;15;0;2
20/04/2020;281;10;5;0;5
21/04/2020;466;35;34;0;1
22/04/2020;482;30;26;0;4
23/04/2020;387;37;29;0;8
24/04/2020;528;66;61;0;5
25/04/2020;703;69;63;0;6
26/04/2020;579;57;47;1;9
27/04/2020;677;64;50;0;14
28/04/2020;873;87;86;0;1
29/04/2020;800;59;51;0;8
30/04/2020;1161;51;40;0;11
01/05/2020;901;91;88;0;3
02/05/2020;1190;91;87;0;4
03/05/2020;810;67;62;0;5
04/05/2020;807;89;86;0;3
05/05/2020;702;58;54;0;4
06/05/2020;1182;104;100;0;4
07/05/2020;1027;59;51;0;8
08/05/2020;872;59;52;0;7
09/05/2020;848;83;69;0;14
10/05/2020;1356;75;70;0;5
11/05/2020;917;177;169;0;8
12/05/2020;1099;109;107;0;2
13/05/2020;920;110;102;0;8
14/05/2020;992;84;73;0;11
15/05/2020;1128;121;119;0;2
16/05/2020;989;119;108;0;11
17/05/2020;816;51;47;0;4
18/05/2020;1072;64;59;0;5
19/05/2020;930;73;68;0;5
20/05/2020;1042;97;83;0;14
21/05/2020;1215;98;92;0;6
22/05/2020;1199;97;83;0;14
23/05/2020;934;67;49;2;16
24/05/2020;889;71;66;1;4
25/05/2020;1091;83;79;0;4
26/05/2020;551;31;28;0;3
27/05/2020;961;92;80;0;12
28/05/2020;991;95;86;0;9
29/05/2020;1236;81;66;2;13
30/05/2020;1370;106;94;0;12
31/05/2020;1024;110;98;0;12
01/06/2020;1820;94;84;0;10
02/06/2020;1339;97;77;0;20
03/06/2020;1549;96;80;0;16
04/06/2020;1343;89;74;0;15
05/06/2020;1700;134;104;0;30
06/06/2020;1166;94;87;4;3
07/06/2020;1266;79;68;0;11
08/06/2020;1010;99;88;2;9
09/06/2020;1402;89;71;1;17
10/06/2020;1205;124;109;0;15
11/06/2020;1164;119;102;0;17
12/06/2020;1005;92;74;0;18
13/06/2020;1378;145;99;27;19
14/06/2020;1223;94;79;1;14
15/06/2020;1254;83;64;0;19
16/06/2020;999;74;64;0;10
17/06/2020;970;122;111;0;11
18/06/2020;1406;106;93;0;13
19/06/2020;1617;164;148;0;16
20/06/2020;1247;144;123;1;20
21/06/2020;978;105;94;0;1
22/06/2020;1040;82;65;4;13
23/06/2020;1045;64;51;0;13
24/06/2020;987;95;77;3;15
25/06/2020;985;104;75;0;29
26/06/2020;1057;121;79;15;27
27/06/2020;1009;105;84;0;21
28/06/2020;1179;127;104;2;21
29/06/2020;956;112;99;0;13
30/06/2020;1274;95;79;5;11
01/07/2020;907;132;114;1;17
02/07/2020;1160;129;96;0;33
03/07/2020;1078;110;80;1;29
04/07/2020;959;108;86;0;22
05/07/2020;756;128;92;2;34
06/07/2020;838;78;52;0;26
07/07/2020;693;69;43;3;23
08/07/2020;788;110;87;0;23
09/07/2020;970;127;113;1;13
10/07/2020;868;98;98;0;17
11/07/2020;700;132;91;0;41
12/07/2020;1108;121;96;1;24
13/07/2020;710;63;50;0;13
14/07/2020;764;45;33;2;10
15/07/2020;804;126;90;2;34
16/07/2020;1173;112;84;0;28
17/07/2020;1074;63;34;4;25
18/07/2020;790;125;76;0;49
19/07/2020;712;141;96;0;45
20/07/2020;639;138;97;0;41
21/07/2020;369;37;27;1;9
22/07/2020;1244;136;101;0;35
23/07/2020;1170;145;119;0;26
24/07/2020;1602;156;122;0;34
25/07/2020;1315;130;105;0;25
26/07/2020;1367;129;116;0;13
27/07/2020;1083;83;64;0;19
28/07/2020;824;41;33;0;8
29/07/2020;1963;156;128;0;28
30/07/2020;1547;145;116;0;29
31/07/2020;1374;126;106;2;18
01/08/2020;850;52;38;0;14
02/08/2020;915;60;48;0;12
03/08/2020;946;42;36;0;6
04/08/2020;1078;46;19;0;27
05/08/2020;1241;106;77;2;27
06/08/2020;1917;177;159;0;18
07/08/2020;1711;172;90;0;82
08/08/2020;1576;116;63;0;53
09/08/2020;1656;172;59;0;113
10/08/2020;1402;137;64;1;72
11/08/2020;876;68;29;0;39
12/08/2020;1842;207;92;0;115
13/08/2020;1730;153;47;0;106
14/08/2020;1952;132;52;0;80
15/08/2020;1886;160;67;2;91
16/08/2020;1317;130;67;0;63
17/08/2020;1049;75;37;0;38
18/08/2020;926;68;41;2;25
19/08/2020;1463;141;58;0;83
20/08/2020;1519;113;53;1;59
21/08/2020;1421;130;55;2;73
22/08/2020;1552;161;100;0;61
23/08/2020;1250;99;36;1;62
24/08/2020;812;64;36;0;28
25/08/2020;816;43;29;0;14
26/08/2020;1384;130;74;1;55
27/08/2020;1242;108;59;0;49
28/08/2020;1250;90;50;0;40
29/08/2020;1328;72;39;1;32
30/08/2020;1276;100;60;2;38
31/08/2020;1090;55;34;3;18
01/09/2020;944;44;25;1;18
02/09/2020;1187;88;42;1;45
03/09/2020;1032;83;42;0;41
04/09/2020;1346;55;31;0;24
05/09/2020;1313;67;27;0;40
06/09/2020;1166;39;15;0;24
07/09/2020;1052;27;17;0;10
08/09/2020;788;30;18;1;11
09/09/2020;1317;58;36;1;21
10/09/2020;933;48;27;1;20
11/09/2020;1261;43;22;4;17
12/09/2020;1093;44;26;1;17
13/09/2020;1206;43;16;2;25
14/09/2020;852;26;9;0;17
15/09/2020;727;15;9;209;5
16/09/2020;1169;39;21;0;18
17/09/2020;1312;50;27;0;23
18/09/2020;1154;27;8;0;19
19/09/2020;1334;43;15;2;26
20/09/2020;1224;26;10;4;12
21/09/2020;997;24;15;0;9
22/09/2020;853;21;5;6;10
23/09/2020;1005;36;10;0;26
24/09/2020;1055;21;8;1;12
25/09/2020;1170;23;7;1;15
26/09/2020;1141;30;9;3;18
27/09/2020;1295;40;10;1;29
28/09/2020;929;10;3;1;6
29/09/2020;920;26;7;8;11
30/09/2020;1266;37;15;0;22
01/10/2020;1351;37;19;5;13
02/10/2020;1213;32;5;4;23
03/10/2020;1337;17;7;0;10
04/10/2020;1131;26;8;1;17
05/10/2020;929;28;3;14;11
06/10/2020;777;19;3;7;9
07/10/2020;1042;33;10;7;16
08/10/2020;987;16;3;2;11
09/10/2020;1059;23;10;2;11
10/10/2020;1177;31;16;2;13
11/10/2020;1091;24;5;1;18
12/10/2020;639;24;8;7;9
13/10/2020;924;15;2;6;7
14/10/2020;1293;24;1;6;17
15/10/2020;1105;17;5;5;7
16/10/2020;1084;20;5;1;14
17/10/2020;982;24;11;3;10
18/10/2020;1156;26;7;3;16
19/10/2020;829;14;3;7;4
20/10/2020;816;27;0;18;9
21/10/2020;1010;25;7;5;13
22/10/2020;899;24;12;7;5
23/10/2020;1379;17;7;4;6
24/10/2020;937;18;6;0;12
25/10/2020;1017;8;3;0;5
26/10/2020;576;14;2;5;7
27/10/2020;453;6;3;1;2
28/10/2020;721;11;3;1;7
29/10/2020;689;11;5;0;6
30/10/2020;805;12;4;0;8
31/10/2020;954;11;3;0;8
01/11/2020;1038;14;4;2;8
02/11/2020;653;7;2;0;5
03/11/2020;400;3;0;0;3
04/11/2020;769;10;5;0;5
05/11/2020;740;18;10;0;8
06/11/2020;768;8;2;1;5
07/11/2020;968;17;4;0;13
24/11/2020;524;11;5;0;6
25/11/2020;743;19;11;0;8
26/11/2020;959;33;14;0;19
27/11/2020;921;21;11;0;10
28/11/2020;1050;46;15;0;31
29/11/2020;1029;48;22;0;26
30/11/2020;772;14;5;0;9
01/12/2020;680;18;6;0;12
02/12/2020;1053;66;29;0;37
03/12/2020;916;44;18;0;26
04/12/2020;1054;80;33;0;47
05/12/2020;1224;100;29;0;71
06/12/2020;925;80;34;0;46
07/12/2020;1231;76;31;1;44
08/12/2020;844;43;14;3;26
09/12/2020;1001;69;33;1;35
10/12/2020;1284;101;52;0;49
11/12/2020;1397;127;64;0;63
11/12/2020;1397;127;64;0;63
12/12/2020;1328;104;42;0;62
12/12/2020;1328;104;42;0;62
13/12/2020;1227;78;32;1;45
13/12/2020;1227;78;32;1;45
14/12/2020;1122;71;32;0;39
14/12/2020;1122;71;32;0;39
15/12/2020;938;70;20;0;50
15/12/2020;938;70;20;0;50
16/12/2020;1279;120;35;0;85
16/12/2020;1279;120;35;0;85
17/12/2020;1544;115;52;0;63
17/12/2020;1544;115;52;0;63
18/12/2020;1489;108;47;2;59
18/12/2020;1489;108;47;2;59
19/12/2020;1819;111;43;0;68
19/12/2020;1819;111;43;0;68
20/12/2020;1356;88;29;1;58
20/12/2020;1356;88;29;1;58
21/12/2020;1404;121;52;0;69
21/12/2020;1404;121;52;0;69
22/12/2020;953;66;22;0;44
22/12/2020;953;66;22;0;44
23/12/2020;1439;98;35;5;58
23/12/2020;1439;98;45;5;58
24/12/2020;2160;157;54;2;101
24/12/2020;2160;157;54;2;101
25/12/2020;1364;169;71;1;97
25/12/2020;1364;169;71;1;97
26/12/2020;1549;154;60;0;94
27/12/2020;1200;86;36;0;50
28/12/2020;1194;119;45;0;74
29/12/2020;984;78;26;0;52
30/12/2020;1379;139;43;1;95
31/12/2020;1402;195;81;0;114
01/01/2021;1718;224;88;0;136
02/01/2021;1654;147;40;0;107
03/01/2021;1703;186;73;0;113
04/01/2021;1293;106;37;0;69
05/01/2021;1329;161;45;0;116
06/01/2021;1540;192;47;1;144
07/01/2021;1775;220;56;0;164
08/01/2021;2270;296;154;0;142
09/01/2021;2555;328;120;0;208
10/01/2021;1781;245;101;0;144
11/01/2021;1927;248;114;0;174
12/01/2021;1062;152;50;0;102
13/01/2021;1079;198;62;0;136
14/01/2021;1837;295;105;1;189
15/01/2021;2286;218;69;0;149
16/01/2021;2527;342;147;0;195
17/01/2021;2239;290;118;0;172
18/01/2021;1888;196;86;0;110
19/01/2021;1443;168;54;0;114
20/01/2021;1380;250;76;0;174
21/01/2021;2500;167;89;0;178
22/01/2021;2270;300;126;0;174
23/01/2021;2389;250;86;0;164
24/01/2021;2448;268;102;0;166
25/01/2021;2099;266;111;2;153
26/01/2021;1515;133;36;0;97
27/01/2021;1698;280;87;0;193
28/01/2021;2262;304;104;0;200
29/01/2021;2102;184;64;0;120
30/01/2021;2180;318;97;0;221
31/01/2021;2083;310;158;0;152
01/02/2021;2411;404;126;0;278
02/02/2021;1457;153;47;0;106
03/02/2021;1787;285;96;0;189
04/02/2021;2523;368;89;0;279
05/02/2021;2331;373;127;1;245
06/02/2021;3029;383;120;0;263
07/02/2021;2298;271;80;0;191
08/02/2021;2365;297;100;0;197
09/02/2021;1329;188;61;0;127
10/02/2021;1653;276;72;0;204
11/02/2021;2860;393;89;0;304
12/02/2021;2688;462;201;0;261
13/02/2021;2287;266;93;0;172
14/02/2021;2116;366;160;0;206
15/02/2021;2056;268;119;0;149
16/02/2021;1555;201;80;0;121
17/02/2021;2912;295;95;0;200
18/02/2021;2128;328;126;0;202
19/02/2021;2168;279;102;0;177
20/02/2021;2588;252;87;0;165
21/02/2021;2348;297;146;0;151
22/02/2021;1931;172;45;0;127
23/02/2021;1633;143;49;0;94
24/02/2021;2040;211;75;0;136
25/02/2021;2547;288;99;0;189
26/02/2021;2762;290;103;0;187
27/02/2021;2210;224;92;0;132
28/02/2021;2308;265;96;0;169
01/03/2021;1746;212;57;0;155
02/03/2021;1273;100;42;0;58
03/03/2021;2017;205;70;0;135
04/03/2021;2070;210;72;0;138
05/03/2021;2089;221;75;0;146
06/03/2021;1856;164;63;1;100
07/03/2021;2057;255;99;0;196
08/03/2021;1227;102;27;0;75
09/03/2021;1028;80;22;0;59
10/03/2021;1390;156;63;0;93
11/03/2021;1948;176;68;0;109
12/03/2021;1935;198;77;0;121
13/03/2021;1702;157;64;0;93
14/03/2021;1817;166;62;0;104
15/03/2021;1330;104;35;0;69
16/03/2021;1116;66;19;0;47
17/03/2021;1892;192;56;0;136
18/03/2021;1889;174;68;0;106
19/03/2021;1655;113;44;0;69
20/03/2021;2214;152;53;0;99
21/03/2021;1894;140;44;0;96
22/03/2021;1398;87;30;0;57
23/03/2021;732;36;15;0;21
24/03/2021;1906;178;71;0;107
25/03/2021;1571;121;47;0;74
26/03/2021;1586;99;34;0;65
10/04/2021;1586;99;34;0;65
09/04/2021;1571;121;47;0;74
08/04/2021;1906;178;71;0;107
07/04/2021;732;36;15;0;21
06/04/2021;1398;87;30;0;57
05/04/2021;1894;140;44;0;96
04/04/2021;2214;152;53;0;99
03/04/2021;1655;113;44;0;69
02/04/2021;1889;174;68;0;106
01/04/2021;1892;192;56;0;136
31/03/2021;1116;66;19;0;47
30/03/2021;1330;104;35;0;69
29/03/2021;1817;166;62;0;104
28/03/2021;1702;157;64;0;93
27/03/2021;1935;198;77;0;121
11/04/2021;1810;67;23;0;44
12/04/2021;1287;34;11;0;23
13/04/2021;999;30;13;0;17
14/04/2021;1511;65;21;0;44
15/04/2021;1315;46;15;0;31
16/04/2021;1575;58;21;0;37
17/04/2021;1672;67;28;0;39
18/04/2021;1536;51;11;0;40
19/04/2021;1221;39;7;0;32
20/04/2021;911;15;7;0;8
21/04/2021;1649;74;30;0;44
22/04/2021;1392;65;30;0;35
23/04/2021;1225;47;19;0;28
24/04/2021;1638;60;28;0;32
25/04/2021;1452;53;10;0;43
26/04/2021;1194;31;10;0;21
27/04/2021;880;27;7;0;20
28/04/2021;1231;56;18;0;38
29/04/2021;1309;46;17;0;29
30/04/2021;1280;49;14;0;35
01/05/2021;1552;44;9;0;35
02/05/2021;1780;45;13;0;32
03/05/2021;968;31;13;0;18
04/05/2021;948;28;3;0;25
05/05/2021;1199;52;25;0;27
06/05/2021;1029;34;17;0;17
07/05/2021;1313;43;10;0;33
08/05/2021;1372;44;16;0;28
09/05/2021;1053;27;7;0;20
10/05/2021;839;22;12;0;10
11/05/2021;842;15;5;0;10
12/05/2021;1094;33;12;0;21
13/05/2021;990;28;12;0;16
14/05/2021;1055;16;6;0;10
15/05/2021;961;22;12;0;10
16/05/2021;1508;22;6;0;16
17/05/2021;1104;22;7;0;15
18/05/2021;863;24;9;0;15
19/05/2021;1358;29;4;0;25
20/05/2021;1235;36;10;0;26
21/05/2021;1438;62;23;0;39
22/05/2021;1633;39;13;0;26
23/05/2021;1775;28;4;0;28
24/05/2021;1356;52;17;2;13
25/05/2021;893;16;1;0;15
26/05/2021;1102;23;10;0;13
27/05/2021;1767;67;31;0;36
28/05/2021;1442;48;24;0;24
29/05/2021;1937;35;11;0;24
30/05/2021;1835;56;26;0;30
31/05/2021;1526;29;11;0;18
01/06/2021;1051;17;6;0;11
02/06/2021;1686;61;16;0;45
03/06/2021;1275;45;13;0;32
04/06/2021;1211;42;10;0;32
05/06/2021;1748;50;19;0;31
06/06/2021;1869;49;19;0;30
07/06/2021;1368;33;17;0;16
08/06/2021;979;12;3;0;9
09/06/2021;1642;71;26;0;45
10/06/2021;1349;54;13;0;41
11/06/2021;1322;50;14;0;36
12/06/2021;1984;52;19;0;33
13/06/2021;1795;46;15;0;31
14/06/2021;1326;25;8;0;17
15/06/2021;973;27;7;0;20
16/06/2021;1627;68;24;0;44
17/06/2021;1347;88;41;0;47
18/06/2021;1416;53;22;0;31
19/06/2021;1806;74;29;0;45
20/06/2021;1999;71;27;0;44
21/06/2021;1429;33;19;0;14
22/06/2021;1073;35;24;0;11
23/06/2021;1845;118;55;0;63
24/06/2021;1582;87;35;0;52
25/06/2021;1185;70;32;0;38
26/06/2021;1945;104;44;0;60
27/06/2021;1860;53;23;0;30
28/06/2021;1423;25;7;0;18
29/06/2021;1200;28;9;0;19
30/06/2021;2032;171;64;0;107
01/07/2021;2024;135;61;0;74
02/07/2021;2210;164;64;0;100
03/07/2021;2082;200;68;0;132
04/07/2021;2104;141;49;0;92
05/07/2021;1817;191;87;0;104
06/07/2021;1255;121;45;0;76
07/07/2021;2388;356;127;0;229
08/07/2021;2166;354;135;1;218
09/07/2021;2104;476;215;0;261
10/07/2021;2762;380;136;0;234
11/07/2021;2715;529;188;0;341
